,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
14, 03/24  15:00:00,680400.0,1134000.0,21.44579547951788,26.000000000000025,0.0,2195722.8280629558
15, 03/24  16:00:00,680400.0,1134000.0,21.490340136391243,25.999999999999947,0.0,2057048.118807952
16, 03/24  17:00:00,340200.0,567000.0,21.92933251218298,26.000000000000014,0.0,995977.4302263568
17, 03/24  18:00:00,136080.00000000006,226800.0,20.270318788803824,25.990697870338483,0.0,67338.75669484749
7, 03/25  08:00:00,0.0,0.0,12.571073363024507,20.524320485265953,0.0,0.0
8, 03/25  09:00:00,0.0,0.0,14.349100787726341,21.12092612825621,0.0,0.0
9, 03/25  10:00:00,0.0,0.0,16.1667851861251,21.28297443073085,0.0,0.0
10, 03/25  11:00:00,0.0,0.0,17.590741631507598,21.769716680337524,0.0,0.0
11, 03/25  12:00:00,0.0,0.0,18.952518868475295,22.31881933182322,0.0,0.0
12, 03/25  13:00:00,0.0,0.0,20.69544950908902,22.941363106932265,0.0,0.0
13, 03/25  14:00:00,0.0,0.0,24.239415375317478,24.41783301716355,0.0,0.0
14, 03/25  15:00:00,0.0,0.0,24.884462516455375,25.664587565252763,0.0,0.0
15, 03/25  16:00:00,0.0,0.0,24.031881701679396,25.74827728316268,0.0,0.0
16, 03/25  17:00:00,0.0,0.0,23.37075272882095,25.540126354893612,0.0,0.0
17, 03/25  18:00:00,0.0,0.0,22.014024036397654,24.8641896781327,0.0,0.0
7, 03/26  08:00:00,0.0,0.0,15.882301401886554,24.66421329924887,0.0,0.0
8, 03/26  09:00:00,0.0,0.0,17.611126928347304,25.157880194735853,0.0,0.0
9, 03/26  10:00:00,0.0,0.0,19.26824970685905,25.36882725884671,0.0,0.0
10, 03/26  11:00:00,0.0,0.0,21.415881223728245,25.93860919596358,0.0,0.0
11, 03/26  12:00:00,0.0,0.0,24.84616479724073,27.26820649061309,0.0,0.0
12, 03/26  13:00:00,0.0,0.0,26.933602988622646,28.843579247186483,0.0,0.0
13, 03/26  14:00:00,0.0,0.0,28.226952129494425,29.984173990170216,0.0,0.0
14, 03/26  15:00:00,0.0,0.0,28.486390068691907,30.294178214164578,0.0,0.0
15, 03/26  16:00:00,0.0,0.0,29.392738745233423,30.392979898421306,0.0,0.0
16, 03/26  17:00:00,0.0,0.0,28.85356071653657,30.514440883341173,0.0,0.0
17, 03/26  18:00:00,0.0,0.0,26.87257329951324,29.65040274350457,0.0,0.0
7, 03/27  08:00:00,340200.0,567000.0,11.352038703609836,21.92955776673388,0.0,0.0
8, 03/27  09:00:00,680400.0,1134000.0,11.782750230536498,24.32588119713603,0.0,0.0
9, 03/27  10:00:00,680400.0,1134000.0,13.26958660069854,25.293315632384747,0.0,0.0
10, 03/27  11:00:00,0.0,1134000.0,17.474884668877117,25.088837593225836,0.0,0.0
11, 03/27  12:00:00,0.0,1134000.0,16.154029288003358,25.457525704800762,0.0,0.0
12, 03/27  13:00:00,0.0,1134000.0,16.851453170863408,25.94365778033177,0.0,150062.64437639446
