,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,2.9948692892239897,14.7952133857138,0.0,0.0
8, 01/01  09:00:00,0.0,0.0,3.747701608025531,15.03869157686466,0.0,0.0
9, 01/01  10:00:00,0.0,0.0,5.499118426063776,15.557364445653867,0.0,0.0
10, 01/01  11:00:00,0.0,0.0,7.244513591999269,16.893297047680832,0.0,0.0
11, 01/01  12:00:00,0.0,0.0,8.859079574519798,18.407549313987655,0.0,0.0
12, 01/01  13:00:00,0.0,0.0,10.189602638939084,19.819067080690893,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,10.375040577496302,19.845466152366253,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,10.596854823322543,19.58221567692535,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,11.610348414572178,20.322850063305413,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,10.519903904656463,20.192343258887508,0.0,0.0
17, 01/01  18:00:00,0.0,0.0,9.067243215219793,19.387338252253034,0.0,0.0
7, 01/02  08:00:00,340200.0,567000.0,2.5828069682656083,20.585639826918506,18942.003630862368,0.0
8, 01/02  09:00:00,680400.0,1134000.0,3.688482119027078,22.811941536725193,0.0,0.0
9, 01/02  10:00:00,0.0,1134000.0,5.757777657112988,23.060770126121806,0.0,0.0
10, 01/02  11:00:00,0.0,1134000.0,7.699701359907352,24.47710853358214,0.0,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,9.715728020357034,25.99960370896956,0.0,132398.8306535486
12, 01/02  13:00:00,0.0,1134000.0,13.301395724729225,25.95671486917105,0.0,891787.0284684659
13, 01/02  14:00:00,0.0,1134000.0,16.07166241646897,25.99999999999859,0.0,2686927.7650729585
14, 01/02  15:00:00,0.0,1134000.0,17.674675680219018,26.00000000000001,0.0,3498551.769450778
15, 01/02  16:00:00,680400.0,1134000.0,18.32367839233843,26.0,0.0,3633248.2527233437
16, 01/02  17:00:00,340200.0,567000.0,16.03475712620762,26.0,0.0,1695439.8627902141
17, 01/02  18:00:00,136080.00000000006,226800.0,14.740327237341841,26.00000000000001,0.0,409916.89021578204
7, 01/03  08:00:00,340200.0,567000.0,4.86122696244475,20.090078893643827,583666.2859928918,0.0
8, 01/03  09:00:00,680400.0,1134000.0,5.505708968452642,21.608931518285843,0.0,0.0
9, 01/03  10:00:00,0.0,1134000.0,7.893899491131571,21.65533137299229,0.0,0.0
10, 01/03  11:00:00,680400.0,1134000.0,9.782951467383963,24.61988544835144,0.0,0.0
11, 01/03  12:00:00,0.0,1134000.0,12.976595194791358,24.393891968943247,0.0,0.0
12, 01/03  13:00:00,680400.0,1134000.0,12.679184752654052,25.999996791073706,0.0,794050.0640334066
13, 01/03  14:00:00,680400.0,1134000.0,12.261926912312177,25.999999999984855,0.0,757405.6545564815
14, 01/03  15:00:00,0.0,1134000.0,11.603584687451274,25.998325437599693,0.0,593411.0667970896
15, 01/03  16:00:00,680400.0,1134000.0,9.545240049232655,26.0,0.0,1144465.550867798
16, 01/03  17:00:00,340200.0,567000.0,7.5363148054982965,25.30986906312757,0.0,0.0
17, 01/03  18:00:00,136080.00000000006,226800.0,5.87604288883044,23.69283847904286,0.0,0.0
7, 01/04  08:00:00,340200.0,567000.0,3.8456822365079124,21.374983287016253,0.0,0.0
8, 01/04  09:00:00,680400.0,1134000.0,5.4868843055936205,23.69215658344388,0.0,0.0
9, 01/04  10:00:00,680400.0,1134000.0,7.240067297250617,25.26208901014305,0.0,0.0
10, 01/04  11:00:00,0.0,1134000.0,9.506374725506854,25.559016601241268,0.0,187415.00922730198
11, 01/04  12:00:00,0.0,1134000.0,11.198013440759883,25.99999993819441,0.0,746593.3546470437
12, 01/04  13:00:00,0.0,1134000.0,13.850401301560018,26.00000000000001,0.0,2680754.0448117317
13, 01/04  14:00:00,0.0,1134000.0,15.757974640900485,25.99999999999996,0.0,4065371.6613089773
14, 01/04  15:00:00,0.0,1134000.0,17.690992039461207,25.999999999999968,0.0,4622466.915036574
15, 01/04  16:00:00,680400.0,1134000.0,16.059857348925572,26.0,0.0,5170761.57984611
16, 01/04  17:00:00,340200.0,567000.0,14.425508976821597,26.0,0.0,2733196.9624164533
17, 01/04  18:00:00,136080.00000000006,226800.0,13.631944089692436,26.000000000000004,0.0,1079197.327298806
7, 01/05  08:00:00,340200.0,567000.0,8.546386446981398,23.16041214446626,0.0,0.0
8, 01/05  09:00:00,680400.0,1134000.0,10.855884266272554,25.613263307575675,0.0,166464.2501043555
9, 01/05  10:00:00,0.0,1134000.0,12.781098614377875,25.794427172897695,0.0,293834.58614428126
10, 01/05  11:00:00,0.0,1134000.0,14.590659789321277,25.999999950075733,0.0,1644236.4931122866
11, 01/05  12:00:00,0.0,1134000.0,16.040867840101882,26.000000000000128,0.0,2334644.445310887
12, 01/05  13:00:00,680400.0,1134000.0,17.4515587914996,26.000000000000004,0.0,3354133.3774109134
13, 01/05  14:00:00,0.0,1134000.0,19.096814400833185,25.999999999999968,0.0,3580541.3460690887
14, 01/05  15:00:00,0.0,1134000.0,20.495043722451726,26.00000003606525,0.0,4453337.6971595315
15, 01/05  16:00:00,680400.0,1134000.0,19.926177781042377,26.000000000000032,0.0,5312440.422350435
16, 01/05  17:00:00,340200.0,567000.0,18.662183950996514,26.000000000000025,0.0,3184756.3779359017
17, 01/05  18:00:00,136080.00000000006,226800.0,17.21664963899377,26.00000000000001,0.0,1562907.6825074716
7, 01/06  08:00:00,340200.0,567000.0,6.8331040215699685,20.123486125127407,2705596.978026502,0.0
